run_id,core,seed,sample,round,phase,position,label,bytes,accesses,start,salt,elapsed_ns,cpu_before,cpu_after,result,expected
15,LP-E,20260918,0,0,warmup,0,stride_1_double,393216,2097152,11070,5956244000611053112,7522918,21,21,7905728796759765832,7905728796759765832
15,LP-E,20260918,1,0,warmup,1,stride_17,50331648,1048576,2305841,4084449694285794450,30005444,21,21,1150824561067700103,1150824561067700103
15,LP-E,20260918,2,0,warmup,2,stride_17,98304,1048576,3834,2901418508158633061,3901317,21,21,14286592680675599850,14286592680675599850
15,LP-E,20260918,3,0,warmup,3,stride_4097,24576,1048576,1126,4474534374457295079,4178808,21,21,17989290583791180251,17989290583791180251
15,LP-E,20260918,4,0,warmup,4,stride_1,8388608,1048576,769318,6652478535924759691,4151943,21,21,18303280461608560459,18303280461608560459
15,LP-E,20260918,5,0,warmup,5,random,33554432,1048576,3089959,6820168409312923533,38434246,21,21,13050329737683796515,13050329737683796515
15,LP-E,20260918,6,0,warmup,6,stride_1_double,4194304,2097152,130469,15939123256617103370,8181131,21,21,6365434431071571024,6365434431071571024
15,LP-E,20260918,7,0,warmup,7,stride_1,98304,1048576,4770,15944837985991461066,3740393,21,21,15861878089048047223,15861878089048047223
15,LP-E,20260918,8,0,warmup,8,stride_513,131072,1048576,11167,2037898983748136398,3858852,21,21,16921412609114818048,16921412609114818048
15,LP-E,20260918,9,0,warmup,9,stride_4097,12288,1048576,225,14602270764175839666,3737827,21,21,5312326136062546387,5312326136062546387
15,LP-E,20260918,10,0,warmup,10,stride_1,8192,1048576,517,649131240791281532,3744393,21,21,116592947459441664,116592947459441664
15,LP-E,20260918,11,0,warmup,11,stride_1_double,524288,2097152,64078,6925496223621916688,7484783,21,21,1677023885985199424,1677023885985199424
15,LP-E,20260918,12,0,warmup,12,pair_same_line,268435456,1048576,27100268,14582746449595694974,63101302,21,21,15800818535194491991,15800818535194491991
15,LP-E,20260918,13,0,warmup,13,stride_4097,100663296,1048576,12569931,12002611832900571424,39322462,21,21,15300973479851005998,15300973479851005998
15,LP-E,20260918,14,0,warmup,14,stride_1,131072,1048576,2641,1924254399118557352,3789169,21,21,16921412609114818048,16921412609114818048
15,LP-E,20260918,15,0,warmup,15,pair_split_line,6144,1048576,365,11437116505824499749,4832339,21,21,13019530045188710127,13019530045188710127
15,LP-E,20260918,16,0,warmup,16,pair_split_line,67108864,1048576,58808,9866190260558737108,79782622,21,21,16312784287715217390,16312784287715217390
15,LP-E,20260918,17,0,warmup,17,stride_513,67108864,1048576,1300877,1076722513697736004,36109959,21,21,3010286190468314884,3010286190468314884
15,LP-E,20260918,18,0,warmup,18,stride_4097,16777216,1048576,1625931,14330568980327045896,39398382,21,21,13705210984678988293,13705210984678988293
15,LP-E,20260918,19,0,warmup,19,stride_1_double,49152,2097152,1724,535939820528345700,7594743,21,21,14923973232673899023,14923973232673899023
15,LP-E,20260918,20,0,warmup,20,stride_513,25165824,1048576,2928734,18249944072031972253,34980514,21,21,11886943178879158261,11886943178879158261
15,LP-E,20260918,21,0,warmup,21,stride_1_double,1572864,2097152,129033,3010580796885531644,8145131,21,21,18227612657531432291,18227612657531432291
15,LP-E,20260918,22,0,warmup,22,stride_1,25165824,1048576,1971812,17139487924146018223,4162419,21,21,7688330514823499052,7688330514823499052
15,LP-E,20260918,23,0,warmup,23,stride_4097,6291456,1048576,77893,9002391471952327044,16369052,21,21,17621229511498579885,17621229511498579885
15,LP-E,20260918,24,0,warmup,24,stride_1_bis,12288,1048576,462,17769137238284578279,4312598,21,21,17757316021232074480,17757316021232074480
15,LP-E,20260918,25,0,warmup,25,random,4194304,1048576,187634,13261584790682217857,25079729,21,21,680786642135426543,680786642135426543
15,LP-E,20260918,26,0,warmup,26,stride_1_bis,393216,1048576,34670,14614998923788303205,4210635,21,21,9365677550259571913,9365677550259571913
15,LP-E,20260918,27,0,warmup,27,stride_1_double,786432,2097152,27477,2126360247054275001,8249150,21,21,13850855826931304949,13850855826931304949
15,LP-E,20260918,28,0,warmup,28,stride_1,16384,1048576,1587,6610978975260955374,4299562,21,21,9548053087369131008,9548053087369131008
15,LP-E,20260918,29,0,warmup,29,stride_1_double,16384,2097152,1004,5433176930557984450,8578926,21,21,649362101028710400,649362101028710400
15,LP-E,20260918,30,0,warmup,30,pair_same_line,6291456,1048576,124117,5018010131642051832,35486559,21,21,11153778058828141092,11153778058828141092
15,LP-E,20260918,31,0,warmup,31,stride_1,50331648,1048576,4925819,5853909306824463539,4492493,21,21,16845162394087947908,16845162394087947908
15,LP-E,20260918,32,0,warmup,32,stride_1_double,24576,2097152,2328,16952092028733513678,7699660,21,21,794467329368793612,794467329368793612
15,LP-E,20260918,33,0,warmup,33,stride_1_double,201326592,2097152,8980289,4585695443591282140,8226241,21,21,15250448620028815729,15250448620028815729
15,LP-E,20260918,34,0,warmup,34,pair_same_line,100663296,1048576,10761786,2099915878285101717,48619004,21,21,12804452719413922525,12804452719413922525
15,LP-E,20260918,35,0,warmup,35,stride_1,524288,1048576,6978,75043229694874061,4525686,21,21,10061883979847375520,10061883979847375520
15,LP-E,20260918,36,0,warmup,36,pair_same_line,201326592,1048576,9000967,13601920582704995565,54192778,21,21,8958005996902570692,8958005996902570692
15,LP-E,20260918,37,0,warmup,37,stride_513,65536,1048576,255,4354601875321331511,3106714,21,21,16423878549329276288,16423878549329276288
15,LP-E,20260918,38,0,warmup,38,stride_1_bis,786432,1048576,7111,5353809480541972695,3084033,21,21,17095726359776780949,17095726359776780949
15,LP-E,20260918,39,0,warmup,39,stride_17,24576,1048576,3019,14174677165742113622,2831435,21,21,3496641876450838147,3496641876450838147
15,LP-E,20260918,40,0,warmup,40,stride_1_double,12288,2097152,354,8388199759978266190,5595481,21,21,3218485624192038317,3218485624192038317
15,LP-E,20260918,41,0,warmup,41,stride_17,524288,1048576,39361,13641577491616954228,2721647,21,21,10061883979847375520,10061883979847375520
15,LP-E,20260918,42,0,warmup,42,stride_1_double,268435456,2097152,20082166,12271880742898249728,6371252,21,21,14852713976722604458,14852713976722604458
15,LP-E,20260918,43,0,warmup,43,stride_1,6144,1048576,341,8079759925716468680,2464914,21,21,14809195301543546675,14809195301543546675
15,LP-E,20260918,44,0,warmup,44,stride_1_bis,134217728,1048576,3791808,9936131386591665299,3312657,21,21,5075238335778014831,5075238335778014831
