sample,op,latency_ns
0,0,6747882
0,1,6687614
0,2,7247506
0,3,6856119
0,4,7085983
0,5,7283785
0,6,7305588
0,7,6836447
0,8,7003166
0,9,6929487
0,10,6782184
0,11,6657666
0,12,7137657
0,13,6820659
0,14,7248827
0,15,6974796
0,16,7057154
0,17,6713258
0,18,7215465
0,19,6995556
0,20,7065078
0,21,6950453
0,22,6888458
0,23,6998926
0,24,6997346
0,25,7033178
0,26,7254884
0,27,6899256
0,28,6968442
0,29,6694749
0,30,6984269
0,31,6610549
0,32,6428774
0,33,6407521
0,34,6588750
0,35,7240628
0,36,7208859
0,37,6929498
0,38,6884382
0,39,6623785
0,40,6423287
0,41,6507348
0,42,6580824
0,43,6579949
0,44,6754393
0,45,6990142
0,46,7206514
0,47,6890002
0,48,7046684
0,49,6884855
0,50,7250539
0,51,6779966
0,52,6588712
0,53,6563051
0,54,6788235
0,55,7025949
0,56,7038839
0,57,6734181
0,58,6684410
0,59,6386304
0,60,7300599
0,61,7206695
0,62,7115404
0,63,7418937
0,64,7067089
0,65,7103592
0,66,6789553
0,67,6813853
0,68,6448365
0,69,6533925
0,70,6397154
0,71,6496162
0,72,6522963
0,73,7044033
0,74,7117448
0,75,6792990
0,76,6519776
0,77,6683156
0,78,6765128
0,79,6587345
0,80,6870402
0,81,6665268
0,82,6706280
0,83,6910892
0,84,6796208
0,85,6645815
0,86,6637402
0,87,7016080
0,88,6789927
0,89,6584096
0,90,6665820
0,91,6636952
0,92,6560380
0,93,6657216
0,94,6841956
0,95,6652355
0,96,6638163
0,97,6681608
0,98,6599446
0,99,6545962
0,100,6613518
0,101,6840326
0,102,6680433
0,103,7002398
0,104,6817624
0,105,6646490
0,106,6767945
0,107,6652928
0,108,7031272
0,109,6745968
0,110,6584657
0,111,6886403
0,112,6976764
0,113,6871111
0,114,6779773
0,115,6660147
0,116,6626228
0,117,6630476
0,118,6872030
0,119,6538097
0,120,7018174
0,121,6860362
0,122,7064999
0,123,6798919
0,124,6657499
0,125,6787518
0,126,6503012
0,127,6578297
0,128,6693464
0,129,6724845
0,130,7409092
0,131,7134112
0,132,7072085
0,133,7270513
0,134,7220571
0,135,6778573
0,136,7290990
0,137,7361026
0,138,7221022
0,139,7125480
0,140,7276801
0,141,7055183
0,142,7344739
0,143,7372152
0,144,7537082
0,145,7289785
0,146,7126168
0,147,6912969
0,148,7411715
0,149,7546841
0,150,7197145
0,151,7176778
0,152,6762528
0,153,7215170
0,154,7426158
0,155,7367018
0,156,7020309
0,157,7373104
0,158,7151213
0,159,7410662
0,160,7457858
0,161,7549894
0,162,7450755
0,163,7619599
0,164,7348428
0,165,7346676
0,166,7886983
0,167,7674589
0,168,7343349
0,169,7080811
0,170,7049968
0,171,7334589
0,172,7341749
0,173,7084858
0,174,7260719
0,175,6607026
0,176,6569077
0,177,6954281
0,178,6975352
0,179,6936660
0,180,6674392
0,181,6957754
0,182,7393671
0,183,7051037
0,184,7059884
0,185,6741043
0,186,7303234
0,187,7092000
0,188,6783134
0,189,6595601
0,190,6512698
0,191,6573059
0,192,6884517
0,193,6619586
0,194,6700054
0,195,6550886
0,196,6703758
0,197,6610771
0,198,6393074
0,199,6395807
0,200,6546926
0,201,6884364
0,202,7081073
0,203,6920940
0,204,7115561
0,205,6985475
0,206,6988565
0,207,6983198
0,208,6866616
0,209,7019941
0,210,7140058
0,211,7071694
0,212,6916986
0,213,6936233
0,214,6802544
0,215,7258831
0,216,6846433
0,217,7083432
0,218,6986065
0,219,7300791
0,220,6648252
0,221,7137467
0,222,7222113
0,223,7384210
0,224,7851364
0,225,7442522
0,226,7519562
0,227,7136197
0,228,7316989
0,229,7677406
0,230,7447469
0,231,7252526
0,232,7349907
0,233,7248728
0,234,7434717
0,235,7053943
0,236,7198977
0,237,7557831
0,238,7205229
0,239,6973049
