sample,op,latency_ns
0,0,196455
0,1,75647
0,2,62603
0,3,59608
0,4,61241
0,5,62173
0,6,61130
0,7,58539
0,8,58086
0,9,57769
0,10,58119
0,11,56502
0,12,56382
0,13,63355
0,14,58452
0,15,57839
0,16,58014
0,17,57155
0,18,57730
0,19,56651
0,20,57330
0,21,57281
0,22,57311
0,23,57796
0,24,57628
0,25,57327
0,26,58095
0,27,57793
0,28,58476
0,29,57780
0,30,226226
0,31,67769
0,32,58148
0,33,57723
0,34,57294
0,35,57019
0,36,58683
0,37,57634
0,38,59628
0,39,57397
0,40,57008
0,41,57844
0,42,57012
0,43,58356
0,44,65951
0,45,57312
0,46,57706
0,47,57108
0,48,57711
0,49,57507
0,50,57497
0,51,57919
0,52,56783
0,53,57609
0,54,58134
0,55,57175
0,56,58210
0,57,57799
0,58,57191
0,59,57667
0,60,57116
0,61,61453
0,62,59792
0,63,57156
0,64,57425
0,65,57230
0,66,57195
0,67,57947
0,68,58212
0,69,59063
0,70,59183
0,71,58766
0,72,58068
0,73,59706
0,74,58919
0,75,62691
0,76,59229
0,77,59215
0,78,73279
0,79,60369
0,80,59430
0,81,58809
0,82,58333
0,83,59262
0,84,58858
0,85,58882
0,86,58734
0,87,59700
0,88,58187
0,89,58541
0,90,58117
0,91,57769
0,92,57968
0,93,57817
0,94,57815
0,95,170118
0,96,58998
0,97,58555
0,98,58236
0,99,58782
0,100,58678
0,101,58921
0,102,58405
0,103,58108
0,104,58226
0,105,58451
0,106,63656
0,107,57615
0,108,57972
0,109,57759
0,110,57742
0,111,57922
0,112,58497
0,113,58284
0,114,58543
0,115,58362
0,116,58222
0,117,59481
0,118,58802
0,119,59188
0,120,58699
0,121,58956
0,122,58802
0,123,59025
0,124,58799
0,125,59253
0,126,63794
0,127,60270
0,128,58195
0,129,59288
0,130,59970
0,131,59704
0,132,58957
0,133,63762
0,134,63933
0,135,60575
0,136,59224
0,137,65344
0,138,59718
0,139,59722
0,140,59893
0,141,59907
0,142,58758
0,143,58562
0,144,59018
0,145,61364
0,146,58548
0,147,59198
0,148,58132
0,149,58958
0,150,58559
0,151,57636
0,152,58309
0,153,58156
0,154,58598
0,155,58570
0,156,58386
0,157,58414
0,158,58245
0,159,61010
0,160,60296
0,161,59229
0,162,58970
0,163,58281
0,164,58496
0,165,59055
0,166,60265
0,167,59025
0,168,63064
0,169,59422
0,170,59304
0,171,59798
0,172,58362
0,173,57682
0,174,58345
0,175,77324
0,176,59246
0,177,58396
0,178,58167
0,179,58705
0,180,58622
0,181,58627
0,182,59732
0,183,58283
0,184,58684
0,185,58367
0,186,58763
0,187,59437
0,188,58733
0,189,58763
0,190,59046
0,191,59033
0,192,58399
0,193,60756
0,194,59048
0,195,58959
0,196,58171
0,197,57948
0,198,58649
0,199,61863
0,200,57620
0,201,57511
0,202,57587
0,203,57212
0,204,57092
0,205,57738
0,206,57759
0,207,58024
0,208,57660
0,209,61106
0,210,59593
0,211,59024
0,212,57583
0,213,60671
0,214,58452
0,215,58432
0,216,58101
0,217,57006
0,218,57828
0,219,57894
0,220,57238
0,221,57199
0,222,57514
0,223,57852
0,224,57712
0,225,57894
0,226,66405
0,227,57881
0,228,58059
0,229,58410
0,230,62395
0,231,58517
0,232,57945
0,233,57617
0,234,58169
0,235,58482
0,236,57940
0,237,57754
0,238,97905
0,239,58404
0,240,58565
0,241,58551
0,242,59824
0,243,58432
0,244,58015
0,245,58605
0,246,58805
0,247,58962
0,248,58762
0,249,61139
0,250,60555
0,251,60536
0,252,60176
0,253,59702
0,254,59691
0,255,60902
1,0,1813140
1,1,1912136
1,2,2241829
1,3,1970632
1,4,1900358
1,5,1864574
1,6,2184967
1,7,2151307
1,8,2017852
1,9,2239737
1,10,1908341
1,11,2018107
1,12,2055271
1,13,2306228
1,14,2283617
1,15,2024721
1,16,2212369
1,17,2237456
1,18,2312347
1,19,2282864
1,20,1988973
1,21,1899173
1,22,1884907
1,23,1881374
1,24,1945059
1,25,1912744
1,26,1948334
1,27,1943876
1,28,1904136
1,29,1881042
1,30,2129012
1,31,2331035
1,32,2026953
1,33,2086736
1,34,2021293
1,35,2037485
1,36,2157216
1,37,2246772
1,38,1997520
1,39,2266716
1,40,2115773
1,41,2144810
1,42,2512626
1,43,2301045
1,44,2023786
