sample,op,latency_ns
0,0,140178
0,1,159843
0,2,168797
0,3,221592
0,4,190285
0,5,236157
0,6,80144
0,7,61289
0,8,57601
0,9,57114
0,10,56731
0,11,57478
0,12,57586
0,13,55261
0,14,56863
0,15,58027
0,16,55758
0,17,66241
0,18,59462
0,19,56981
0,20,56700
0,21,55905
0,22,55595
0,23,55342
0,24,56907
0,25,55720
0,26,55894
0,27,55392
0,28,55988
0,29,55900
0,30,54825
0,31,55358
0,32,54961
0,33,54752
0,34,55113
0,35,55891
0,36,56639
0,37,55569
0,38,55091
0,39,54787
0,40,55211
0,41,54957
0,42,55279
0,43,56710
0,44,54451
0,45,54565
0,46,54688
0,47,55089
0,48,54691
0,49,54743
0,50,54868
0,51,55563
0,52,55501
0,53,56163
0,54,56201
0,55,55641
0,56,55639
0,57,55068
0,58,55492
0,59,55440
0,60,55158
0,61,54418
0,62,54740
0,63,54900
0,64,55363
0,65,53978
0,66,54189
0,67,54780
0,68,54296
0,69,55162
0,70,55150
0,71,55015
0,72,54470
0,73,55149
0,74,54904
0,75,54895
0,76,54895
0,77,54456
0,78,55843
0,79,55060
0,80,54456
0,81,54790
0,82,55083
0,83,55470
0,84,54429
0,85,54788
0,86,55085
0,87,54957
0,88,54968
0,89,55081
0,90,55224
0,91,55175
0,92,54874
0,93,55001
0,94,55447
0,95,55044
0,96,55404
0,97,55876
0,98,55001
0,99,56232
0,100,55986
0,101,55171
0,102,55255
0,103,54986
0,104,54547
0,105,56121
0,106,55734
0,107,55531
0,108,55168
0,109,54575
0,110,55252
0,111,55234
0,112,55760
0,113,55632
0,114,55048
0,115,55991
0,116,55063
0,117,55414
0,118,54711
0,119,55451
0,120,54798
0,121,55606
0,122,55430
0,123,55657
0,124,54774
0,125,54621
0,126,54408
0,127,54945
0,128,55294
0,129,56220
0,130,55281
0,131,55586
0,132,54775
0,133,55420
0,134,55903
0,135,56541
0,136,54027
0,137,54964
0,138,54998
0,139,54095
0,140,56311
0,141,55272
0,142,55004
0,143,55144
0,144,54015
0,145,54592
0,146,54530
0,147,55618
0,148,54708
0,149,54864
0,150,54863
0,151,54652
0,152,56053
0,153,54637
0,154,55213
0,155,55453
0,156,55328
0,157,55850
0,158,55470
0,159,56274
0,160,55847
0,161,56705
0,162,55855
0,163,56365
0,164,57091
0,165,56014
0,166,57007
0,167,56362
0,168,56325
0,169,56492
0,170,56884
0,171,56432
0,172,56469
0,173,56840
0,174,57063
0,175,56342
0,176,55316
0,177,54975
0,178,54628
0,179,55411
0,180,55110
0,181,55484
0,182,55292
0,183,55349
0,184,55088
0,185,55261
0,186,55491
0,187,55578
0,188,55349
0,189,55419
0,190,54913
0,191,56079
0,192,55738
0,193,55030
0,194,56069
0,195,55890
0,196,55908
0,197,55678
0,198,56338
0,199,55705
0,200,55939
0,201,55775
0,202,56625
0,203,55868
0,204,56918
0,205,56909
0,206,55575
0,207,54584
0,208,55663
0,209,55103
0,210,54688
0,211,55020
0,212,54608
0,213,54639
0,214,55171
0,215,54821
0,216,55278
0,217,55459
0,218,55120
0,219,55072
0,220,54882
0,221,55641
0,222,54874
0,223,54884
0,224,55514
0,225,54994
0,226,55948
0,227,55353
0,228,56414
0,229,56351
0,230,54988
0,231,55779
0,232,55601
0,233,56026
0,234,55369
0,235,54959
0,236,54123
0,237,54916
0,238,54332
0,239,54128
0,240,54397
0,241,54744
0,242,55092
0,243,56657
0,244,54649
0,245,54960
0,246,55011
0,247,55478
0,248,53855
0,249,55484
0,250,55576
0,251,54919
0,252,54766
0,253,54502
0,254,55039
0,255,55079
1,0,66491
1,1,8876
1,2,3111
1,3,2725
1,4,3339
1,5,2597
1,6,2925
1,7,2685
1,8,2623
1,9,2712
1,10,3199
1,11,2894
1,12,2688
1,13,2940
1,14,2824
1,15,2856
1,16,2656
1,17,2636
1,18,2804
1,19,4099
1,20,2880
1,21,2621
1,22,2640
1,23,4409
1,24,3489
1,25,5250
1,26,18078
1,27,7269
1,28,14602
1,29,5436
1,30,5212
1,31,5242
1,32,5276
1,33,5603
1,34,5376
1,35,5473
1,36,5223
1,37,5780
1,38,5390
1,39,3376
1,40,2919
1,41,3094
1,42,2839
1,43,2853
1,44,2886
1,45,4147
1,46,3843
1,47,4478
1,48,4178
1,49,5115
1,50,5380
1,51,7285
1,52,6057
1,53,5155
1,54,5264
1,55,5490
1,56,6940
1,57,5354
1,58,5871
1,59,16596
1,60,8944
1,61,5911
1,62,7748
1,63,7488
1,64,30056
1,65,7784
1,66,5756
1,67,5895
1,68,7802
1,69,6733
1,70,6175
1,71,6719
1,72,7347
1,73,6435
1,74,6493
1,75,6086
1,76,6232
1,77,7851
1,78,6103
1,79,22086
1,80,8711
1,81,6307
1,82,6336
1,83,6708
1,84,5175
1,85,5489
1,86,5158
1,87,7195
1,88,5580
1,89,6516
1,90,20035
1,91,7083
1,92,5464
1,93,5160
1,94,7020
1,95,5293
1,96,5091
1,97,5275
1,98,5151
1,99,5367
1,100,6772
1,101,5739
1,102,6218
1,103,5616
1,104,6635
1,105,5177
1,106,5050
1,107,5765
1,108,5446
1,109,6379
1,110,5032
1,111,5773
1,112,5421
1,113,5369
1,114,6653
1,115,6387
1,116,5068
1,117,5348
1,118,5880
1,119,4115
1,120,3371
1,121,6481
1,122,3906
1,123,3757
1,124,3707
1,125,3190
1,126,3080
1,127,3675
1,128,3897
1,129,4461
1,130,2903
1,131,2768
1,132,4375
1,133,3828
1,134,4045
1,135,4153
1,136,3263
1,137,3728
1,138,3926
1,139,12865
1,140,3429
1,141,2696
1,142,2777
1,143,3500
1,144,2652
1,145,2884
1,146,3731
1,147,2772
1,148,2634
1,149,3563
1,150,2646
1,151,2680
1,152,5797
1,153,3528
1,154,2857
1,155,4087
1,156,2607
1,157,2721
1,158,3348
1,159,2663
1,160,2726
1,161,3900
1,162,2644
1,163,2681
1,164,2883
1,165,3371
1,166,2756
1,167,3365
1,168,3372
1,169,2727
1,170,2667
1,171,3639
1,172,2832
1,173,2806
1,174,3660
1,175,2841
1,176,2872
1,177,3409
1,178,3418
1,179,3275
1,180,4721
1,181,7574
1,182,4310
1,183,7616
1,184,4749
1,185,5656
1,186,3591
1,187,5107
1,188,3246
1,189,3092
1,190,4188
1,191,3034
1,192,4938
1,193,5126
1,194,3308
1,195,5410
1,196,3896
1,197,3755
1,198,3165
1,199,15102
1,200,4026
1,201,3750
1,202,4374
1,203,3399
1,204,3560
1,205,4088
1,206,3141
1,207,3080
1,208,3327
1,209,3972
1,210,3020
1,211,3279
1,212,4586
1,213,3089
1,214,16489
1,215,4412
1,216,3500
1,217,3190
1,218,3448
1,219,3626
1,220,3836
1,221,7629
1,222,3233
1,223,3356
1,224,5025
1,225,3896
1,226,4997
1,227,3500
1,228,4304
1,229,5225
1,230,4437
1,231,3322
1,232,4775
1,233,3326
1,234,4339
1,235,4430
1,236,4890
1,237,5061
1,238,4465
1,239,3423
1,240,4884
1,241,3406
1,242,6313
1,243,4132
1,244,5097
1,245,8387
1,246,5338
1,247,4500
1,248,3899
1,249,4182
1,250,3216
1,251,3193
1,252,4866
1,253,4275
1,254,3581
1,255,4675
2,0,1879072
2,1,1738698
2,2,1903068
2,3,1958199
2,4,2231744
2,5,2025142
2,6,1956532
2,7,1959787
2,8,1948257
2,9,2225932
2,10,2250827
2,11,2009384
2,12,1985755
2,13,2123001
2,14,2321768
2,15,2015414
2,16,2256924
2,17,2070824
2,18,1975116
2,19,2216320
2,20,2123105
2,21,2080856
2,22,1995984
2,23,1999707
2,24,2246764
2,25,2215076
2,26,2337497
